AppID	Works	Title
242880	True	Sir, You Are Being Hunted
243140	True	Glare
243280	True	Poöf
243780	True	PixelJunk™ Monsters Ultimate
244810	True	Foul Play
244870	True	Electronic Super Joy
245150	True	The Novelist
245390	True	I Have No Mouth, and I Must Scream
245410	True	Wizardry 6: Bane of the Cosmic Forge
245430	True	Wizardry 7: Crusaders of the Dark Savant
245470	True	Democracy 3
245550	{'Comment': "Overlay doesn't work."}	Free to Play
246070	True	Hack 'n' Slash
246090	True	Spacebase DF-9
246360	True	Perfection.
246400	True	Nekro
246420	True	Kingdom Rush
246680	True	Secrets of Rætikon
246800	True	BeatBlasters III
247020	True	Cook, Serve, Delicious!
247870	True	Redshirt
248190	Error
248410	True	Legends of Aethereus
248450	True	Salvation Prophecy
248470	True	Doorways: Chapter 1 & 2
248510	True	Dominions 3: The Awakening
248550	True	Megabyte Punch
248570	True	Toribash
248610	True	Door Kickers
248710	True	Iesabel
248800	{'Comment': 'Need to disable Steamworks on 64bit systems due to a bug.', 'CommentURL': 'http://steamcommunity.com/app/248800/discussions/0/846965705285069220/#c846966336102411647'}	Dysfunctional Systems: Learning to Manage Chaos
248860	{'Comment': 'Broken overlay.'}	NEO Scavenger
249570	True	The Castle Doctrine
249590	True	Teslagrad
249630	True	Delver
249950	True	Forge Quest
249990	True	FORCED
250050	True	Life Goes On
250110	True	Assault Android Cactus
250260	True	Jazzpunk
250380	True	Knock-knock
250420	{'Comment': 'Overlay works in server-select window, but not in game window.'}	8BitMMO
250460	True	Bridge Constructor
250580	True	Paranautical Activity
250600	True	The Plan
250620	True	Among the Sleep
251210	True	Hive
251370	True	Escape Goat
251410	True	Dark Matter
251470	True	TowerFall Ascension
251530	True	Anomaly Korea
251630	True	The Impossible Game
251910	True	Solar Flux
251990	True	Long Live The Queen
252010	{'Comment': 'The game is not a Linux port but a WINE self contained package.'}	Oniken
252170	True	Anomaly Warzone Earth Mobile Campaign
252250	True	Maia
252310	True	Syder Arcade
252370	True	The Shivah
252410	True	SteamWorld Dig
252490	Error
252630	True	Eldritch
252670	True	Nihilumbra
252750	True	MouseCraft
253030	True	Race The Sun
253110	{'Comment': 'Broken overlay.'}	The Cat Lady
253310	True	Fester Mudd: Curse of the Gold - Episode 1
253410	True	Ravensword: Shadowlands
253570	True	Gentlemen!
253650	True	Sparkle 2 Evo
253790	True	rymdkapsel
255300	True	Journey of a Roach
255340	True	Escape Goat 2
255500	True	Entropy
255870	True	PixelJunk™ Shooter
255920	True	The 7th Guest
257120	True	Not The Robots
257670	True	Elder Sign: Omens
257770	True	Signal Ops
257830	True	Violett
257870	True	Eschalon: Book III
257930	True	Race To Mars
258050	True	Survivor Squad
258890	True	Type:Rider
258950	True	Montague's Mount
259060	True	Dominions 4: Thrones of Ascension
259130	True	Wasteland 1 - The Original Classic
259390	True	Ballpoint Universe - Infinite
259430	True	Zigfrak
259450	True	Drifter
259470	True	Particulars
259510	True	Shufflepuck Cantina Deluxe
259530	True	Savant - Ascent
259600	True	Finding Teddy
259620	True	3079 -- Block Action RPG
259680	True	Tales of Maj'Eyal
259700	True	Dead Sky
259720	True	Fading Hearts
259740	True	Nightmares from the Deep: The Cursed Heart
259780	True	Nimble Quest
260790	{'Comment': 'Steam Overlay broken with 64-bit version.'}	1001 Spikes
261350	True	Steam Bandits: Outpost
261680	True	Journal
261700	True	Eryi's Action
261820	True	Estranged: Act I
261960	True	Cube & Star: An Arbitrary Love
262260	True	Jets'n'Guns Gold
262690	True	Little Racers STREET
